City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Karratha,AU,-20.7377,116.8463,82.0,75,92,12.21,light rain
1,Puerto Ayora,EC,-0.7393,-90.3518,86.0,62,20,14.97,few clouds
2,Exeter,GB,50.7236,-3.5275,42.8,81,20,3.44,few clouds
3,Ushuaia,AR,-54.8,-68.3,42.8,70,40,32.21,scattered clouds
4,Ilulissat,GL,69.2167,-51.1,33.8,80,75,10.36,snow
5,Qui Nhon,VN,13.7667,109.2333,73.9,88,35,5.61,scattered clouds
6,Dingle,PH,10.9995,122.6711,73.99,87,66,5.46,light rain
7,Vuktyl,RU,63.8567,57.3094,38.88,84,100,17.47,overcast clouds
8,North Bend,US,43.4065,-124.2243,55.0,58,90,12.66,overcast clouds
9,Chokurdakh,RU,70.6333,147.9167,-4.79,88,99,5.41,overcast clouds
10,Xichang,CN,27.8964,102.2634,62.01,49,97,1.16,overcast clouds
11,Constitucion,CL,-35.3333,-72.4167,59.95,80,11,4.41,few clouds
12,Nadym,RU,65.5333,72.5167,28.53,93,100,9.86,overcast clouds
13,Rikitea,PF,-23.1203,-134.9692,76.46,64,16,2.44,few clouds
14,Bluff,NZ,-46.6,168.3333,54.0,89,5,1.99,clear sky
15,Sayyan,YE,15.1718,44.3244,56.5,19,17,4.56,few clouds
16,Tautira,PF,-17.7333,-149.15,87.8,66,40,5.75,scattered clouds
17,Vanimo,PG,-2.6741,141.3028,78.13,87,100,3.53,overcast clouds
18,Tasiilaq,GL,65.6145,-37.6368,15.8,79,25,6.91,scattered clouds
19,Castro,BR,-24.7911,-50.0119,64.87,79,91,8.41,overcast clouds
20,Killybegs,IE,54.6333,-8.45,39.99,92,99,1.01,overcast clouds
21,Mataura,NZ,-46.1927,168.8643,54.0,89,0,1.99,clear sky
22,Prado,BR,-17.3411,-39.2208,74.73,80,92,11.5,overcast clouds
23,Bitkine,TD,11.9801,18.2138,88.66,11,45,6.13,scattered clouds
24,Padilla,CO,3.2204,-76.3139,82.4,57,75,16.11,broken clouds
25,Seinajoki,FI,62.7945,22.8282,28.0,86,0,4.61,clear sky
26,Bredasdorp,ZA,-34.5322,20.0403,55.4,94,7,4.61,clear sky
27,Qasigiannguit,GL,68.8193,-51.1922,33.8,80,75,10.36,light snow
28,Wajid,SO,3.8093,43.2471,81.03,64,100,19.13,overcast clouds
29,Albany,US,42.6001,-73.9662,75.2,35,20,4.61,few clouds
30,Provideniya,RU,64.3833,-173.3,3.2,66,20,5.23,fog
31,Arraial Do Cabo,BR,-22.9661,-42.0278,75.2,83,40,4.61,scattered clouds
32,Yangjiang,CN,21.85,111.9667,67.46,85,100,9.26,overcast clouds
33,Punta Arenas,CL,-53.15,-70.9167,48.2,66,0,25.32,clear sky
34,Souillac,MU,-20.5167,57.5167,78.8,73,40,11.5,scattered clouds
35,Jamestown,US,42.097,-79.2353,78.8,29,20,13.8,few clouds
36,Georgiyevskoye,RU,58.731,45.024,33.57,90,100,15.48,overcast clouds
37,Kapaa,US,22.0752,-159.319,78.8,53,40,16.11,light rain
38,Yar-Sale,RU,66.8333,70.8333,31.6,81,100,13.78,overcast clouds
39,Barrow,US,71.2906,-156.7887,-14.8,64,20,9.22,few clouds
40,Lompoc,US,34.6391,-120.4579,60.8,59,60,16.11,broken clouds
41,Hilo,US,19.7297,-155.09,77.0,57,75,11.5,broken clouds
42,Avarua,CK,-21.2078,-159.775,80.6,89,90,8.05,overcast clouds
43,Klaksvik,FO,62.2266,-6.589,28.4,69,75,32.21,light snow
44,Busselton,AU,-33.65,115.3333,46.0,85,0,1.99,clear sky
45,Brazzaville,CG,-4.2658,15.2832,80.6,78,100,3.44,overcast clouds
46,Asti,IT,44.8979,8.2068,46.0,81,14,1.01,few clouds
47,Tateyama,JP,34.9833,139.8667,52.0,64,29,16.02,scattered clouds
48,Dudinka,RU,69.4058,86.1778,-5.57,96,72,2.84,broken clouds
49,San Patricio,US,28.017,-97.5169,91.4,40,1,18.41,clear sky
50,Baculin,PH,7.4525,126.5842,76.3,91,100,4.88,overcast clouds
51,Tatawin,TN,32.9297,10.4518,53.6,66,22,8.05,few clouds
52,Khatanga,RU,71.9667,102.5,-21.23,100,100,3.85,overcast clouds
53,Esperance,AU,-33.8667,121.9,59.0,100,90,10.36,overcast clouds
54,Codrington,AU,-38.2667,141.9667,57.15,65,100,13.18,overcast clouds
55,Hobart,AU,-42.8794,147.3294,53.6,62,75,5.75,broken clouds
56,Birjand,IR,32.8663,59.2211,55.4,18,0,9.22,clear sky
57,Walvis Bay,NA,-22.9575,14.5053,66.2,68,2,3.44,clear sky
58,Carnarvon,AU,-24.8667,113.6333,73.4,83,60,8.05,broken clouds
59,Kloulklubed,PW,7.0419,134.2556,78.8,89,75,3.44,broken clouds
60,Katangli,RU,51.7102,143.2326,21.4,84,100,23.06,overcast clouds
61,Lorengau,PG,-2.0226,147.2712,81.97,81,100,13.2,overcast clouds
62,Kaitangata,NZ,-46.2817,169.8464,60.01,95,1,4.0,clear sky
63,Severo-Kurilsk,RU,50.6789,156.125,32.09,86,100,21.45,light snow
64,Nanyuki,KE,0.0167,37.0728,59.07,86,80,3.62,broken clouds
65,Beatrice,US,40.2681,-96.747,53.6,82,90,8.05,overcast clouds
66,Iranshahr,IR,27.2025,60.6848,77.0,13,0,9.22,clear sky
67,Thurso,GB,58.5927,-3.5259,35.6,87,75,24.16,broken clouds
68,Aksay,RU,47.26,39.87,42.01,81,90,6.71,overcast clouds
69,Nianzishan,CN,47.5167,122.8833,38.93,32,99,3.98,overcast clouds
70,Saint George,US,37.1041,-113.5841,82.4,6,1,16.11,clear sky
71,Quatre Cocos,MU,-20.2078,57.7625,80.01,73,40,11.5,scattered clouds
72,Mar Del Plata,AR,-38.0023,-57.5575,64.4,94,75,6.91,broken clouds
73,Necochea,AR,-38.5473,-58.7368,62.01,94,100,10.42,overcast clouds
74,Salalah,OM,17.0151,54.0924,78.8,57,0,4.61,clear sky
75,Pauini,BR,-7.7136,-66.9764,75.94,97,100,2.59,overcast clouds
76,Mpika,ZM,-11.8343,31.4529,56.77,91,50,4.7,scattered clouds
77,Padang,ID,-0.9492,100.3543,77.0,94,75,1.14,broken clouds
78,Victoria,HK,22.2855,114.1577,69.01,91,100,13.67,light rain
79,Upernavik,GL,72.7868,-56.1549,25.09,69,100,4.03,overcast clouds
80,Morgan City,US,29.6994,-91.2068,82.0,65,20,8.05,few clouds
81,Clyde River,CA,70.4692,-68.5914,12.2,92,90,34.52,snow
82,Ayan,RU,56.45,138.1667,15.76,89,89,3.27,overcast clouds
83,Grindavik,IS,63.8424,-22.4338,23.0,58,75,20.71,broken clouds
84,Kushmurun,KZ,52.4503,64.6311,31.5,92,82,4.56,broken clouds
85,Yellowknife,CA,62.456,-114.3525,12.99,61,20,17.27,few clouds
86,New Norfolk,AU,-42.7826,147.0587,51.01,77,77,1.01,broken clouds
87,Vaini,TO,-21.2,-175.2,75.2,88,40,6.91,scattered clouds
88,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,70,20,3.44,few clouds
89,Jalu,LY,29.0331,21.5482,69.82,20,5,10.31,clear sky
90,Nizhniy Baskunchak,RU,48.2198,46.8311,54.9,55,100,6.26,light rain
91,Cherskiy,RU,68.75,161.3,5.65,80,61,5.3,broken clouds
92,Batsfjord,NO,70.6345,29.7185,33.8,86,75,2.3,broken clouds
93,Cape Town,ZA,-33.9258,18.4232,66.0,82,0,11.5,clear sky
94,Saldanha,ZA,-33.0117,17.9442,60.8,82,93,10.36,overcast clouds
95,Nikolskoye,RU,59.7035,30.7861,34.0,74,0,6.71,clear sky
96,Seminole,US,28.7086,-81.2081,84.0,34,1,10.36,clear sky
97,Salta,AR,-24.7859,-65.4117,69.8,94,90,3.44,drizzle
98,Tuatapere,NZ,-46.1333,167.6833,54.0,89,3,1.99,clear sky
99,Monroe,US,43.1501,-77.6831,78.8,29,20,16.11,few clouds
100,Liwale,TZ,-9.7667,37.9333,66.81,96,5,4.29,clear sky
101,Bambous Virieux,MU,-20.3428,57.7575,80.01,73,40,11.5,scattered clouds
102,Tiksi,RU,71.6872,128.8694,-13.54,100,100,7.16,overcast clouds
103,Shingu,JP,33.7333,135.9833,50.97,67,28,5.23,scattered clouds
104,Laguna,US,38.421,-121.4238,77.0,27,1,4.61,clear sky
105,Pacatuba,BR,-3.9842,-38.6203,84.2,70,0,13.8,clear sky
106,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.0,73,20,2.3,few clouds
107,Norman Wells,CA,65.282,-126.8329,12.2,52,75,14.97,broken clouds
108,San Marcos,US,33.1434,-117.1661,73.99,68,1,9.22,clear sky
109,Sorland,NO,67.667,12.6934,31.78,48,32,4.7,scattered clouds
110,Port Alfred,ZA,-33.5906,26.891,65.98,85,55,4.14,broken clouds
111,Narsaq,GL,60.9167,-46.05,37.4,65,40,5.75,scattered clouds
112,Chuy,UY,-33.6971,-53.4616,72.55,77,100,8.79,overcast clouds
113,Moranbah,AU,-22.0016,148.0466,76.39,65,57,4.23,broken clouds
114,Atuona,PF,-9.8,-139.0333,81.16,71,12,15.64,few clouds
115,Guerrero Negro,MX,27.9769,-114.0611,74.57,45,0,22.75,clear sky
116,Hermanus,ZA,-34.4187,19.2345,61.0,86,8,3.58,clear sky
117,Puerto Rico,AR,-26.796,-55.024,76.3,56,86,1.74,light rain
118,Langfang,CN,39.5097,116.6947,50.0,54,100,1.99,overcast clouds
119,Muisne,EC,0.6,-80.0333,86.0,79,40,6.91,scattered clouds
120,Rawson,AR,-43.3002,-65.1023,64.04,52,100,10.76,overcast clouds
121,General Delgado,PY,-27.1667,-56.5167,87.8,45,0,5.75,clear sky
122,Parakan,ID,-6.4191,106.0081,82.0,77,100,2.33,overcast clouds
123,Talnakh,RU,69.4865,88.3972,6.93,88,95,3.8,overcast clouds
124,Mamallapuram,IN,12.6264,80.1722,78.8,83,20,4.61,mist
125,Cabo San Lucas,MX,22.8909,-109.9124,84.0,39,20,14.97,few clouds
126,Te Anau,NZ,-45.4167,167.7167,53.64,70,16,4.16,few clouds
127,Swellendam,ZA,-34.0226,20.4417,55.4,94,7,4.61,clear sky
128,Butaritari,KI,3.0707,172.7902,82.24,78,60,15.5,broken clouds
129,Port Lincoln,AU,-34.7333,135.8667,60.69,65,39,12.15,scattered clouds
130,Shenandoah,US,30.4013,-91.0009,87.01,40,1,4.0,clear sky
131,Naze,JP,28.3667,129.4833,64.4,77,75,3.44,light rain
132,Camana,PE,-16.6228,-72.7111,70.66,81,78,7.96,broken clouds
133,Kapuskasing,CA,49.4169,-82.4331,42.8,93,100,6.91,light rain
134,Pevek,RU,69.7008,170.3133,-13.2,90,59,2.08,broken clouds
135,Puro,PH,12.4841,123.3827,78.39,77,100,8.25,overcast clouds
136,Sa Kaeo,TH,13.75,102.3333,76.15,81,47,5.68,scattered clouds
137,Vila Velha,BR,-20.3297,-40.2925,75.99,94,20,4.61,few clouds
138,Puerto Baquerizo Moreno,EC,-0.9,-89.6,84.2,74,40,14.97,scattered clouds
139,Longyearbyen,SJ,78.2186,15.6401,26.6,68,20,13.8,few clouds
140,Mehamn,NO,71.0357,27.8492,33.8,75,40,16.11,scattered clouds
141,Thompson,CA,55.7435,-97.8558,53.6,30,20,11.5,few clouds
142,Qaanaaq,GL,77.484,-69.3632,10.99,72,100,2.91,overcast clouds
143,Meulaboh,ID,4.1363,96.1285,76.12,90,88,3.74,overcast clouds
144,Maceio,BR,-9.6658,-35.7353,80.6,78,20,9.22,few clouds
145,Mangrol,IN,21.1167,70.1167,78.51,72,0,10.54,clear sky
146,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,88,75,20.71,broken clouds
147,Clarence Town,AU,-32.5833,151.7833,64.0,100,20,10.36,few clouds
148,Bethel,US,41.3712,-73.414,69.8,37,1,9.22,clear sky
149,Huatusco,MX,19.15,-96.95,84.67,32,0,7.47,clear sky
150,Saskylakh,RU,71.9167,114.0833,-16.82,100,100,6.82,overcast clouds
151,Chibombo,ZM,-14.6569,28.0706,57.7,84,76,4.9,broken clouds
152,Puerto Leguizamo,CO,-0.1934,-74.7819,81.91,76,98,2.06,overcast clouds
153,Matay,EG,28.419,30.7792,64.33,41,0,17.92,clear sky
154,Portales,US,34.1862,-103.3344,82.0,7,1,14.97,clear sky
155,Oranjemund,NA,-28.55,16.4333,61.02,89,0,5.06,clear sky
156,San Cristobal,VE,7.7669,-72.225,87.8,62,40,12.66,scattered clouds
157,Kibre Mengist,ET,5.8833,38.9833,58.28,70,52,1.03,broken clouds
158,Kerewan,GM,13.4898,-16.0888,80.6,50,0,8.05,clear sky
159,Nyazepetrovsk,RU,56.0531,59.6028,32.41,99,100,2.04,overcast clouds
160,Townsville,AU,-19.25,146.8,78.8,89,20,2.95,few clouds
161,Cidreira,BR,-30.1811,-50.2056,74.64,79,45,23.38,scattered clouds
162,Zhucheng,CN,35.9947,119.3975,47.91,36,16,3.85,few clouds
163,Kavieng,PG,-2.5744,150.7967,80.65,82,100,10.69,light rain
164,Manggar,ID,-2.8833,108.2667,79.5,84,92,7.56,overcast clouds
165,Chioggia,IT,45.2256,12.2889,46.0,57,48,1.99,scattered clouds
166,Airai,TL,-8.9266,125.4092,58.86,92,89,1.77,overcast clouds
167,Labuhan,ID,-6.8844,112.2051,78.26,86,100,5.39,overcast clouds
168,Koslan,RU,63.4564,48.8989,37.49,95,100,17.13,overcast clouds
169,Burnie,AU,-41.0667,145.9167,50.0,75,48,14.0,scattered clouds
170,Hithadhoo,MV,-0.6,73.0833,82.62,68,12,13.94,few clouds
171,Lavrentiya,RU,65.5833,-171.0,-6.23,78,4,1.36,clear sky
172,Tokur,RU,53.1333,132.9,10.94,94,89,1.66,overcast clouds
173,Talcahuano,CL,-36.7167,-73.1167,60.8,88,75,6.91,broken clouds
174,Jhalrapatan,IN,24.55,76.1667,79.83,21,0,8.39,clear sky
175,Aichach,DE,48.4576,11.1341,34.0,69,23,3.44,few clouds
176,Ahar,IR,38.4774,47.0699,59.65,39,100,4.76,overcast clouds
177,Aklavik,CA,68.2191,-135.0107,-11.2,70,90,21.85,snow
178,Horodnytsya,UA,50.807,27.3168,31.26,93,15,6.13,few clouds
179,Sambava,MG,-14.2667,50.1667,75.78,88,100,8.32,overcast clouds
180,Alampur,IN,15.8833,78.15,81.14,41,72,5.06,broken clouds
181,Kumukh,RU,42.1704,47.1161,48.79,57,1,9.08,clear sky
182,Adrar,MR,20.5022,-10.0711,80.64,14,0,9.89,clear sky
183,Cockburn Town,TC,21.4612,-71.1419,77.0,57,40,13.8,scattered clouds
184,Manitouwadge,CA,49.1215,-85.8403,46.4,93,90,10.36,overcast clouds
185,Kamenka,RU,51.3223,42.7678,39.99,73,100,4.7,overcast clouds
186,Yulara,AU,-25.2406,130.9889,59.0,58,21,4.61,few clouds
187,Fortuna,US,40.5982,-124.1573,59.0,71,20,14.97,few clouds
188,Komsomolskiy,UZ,40.4272,71.7189,50.0,62,0,2.75,clear sky
189,Yerbogachen,RU,61.2767,108.0108,10.65,92,100,8.99,overcast clouds
190,Sioux Lookout,CA,50.1001,-91.917,35.6,93,90,9.22,mist
191,Odesskoye,RU,54.2111,72.9651,34.0,99,100,9.19,overcast clouds
192,Camacupa,AO,-12.0167,17.4833,61.43,90,96,3.31,light rain
193,Henties Bay,NA,-22.116,14.2845,69.48,64,38,2.89,scattered clouds
194,Jagalur,IN,14.5333,76.35,75.02,66,22,8.66,few clouds
195,Hollins,US,37.3413,-79.9431,72.0,56,75,10.36,broken clouds
196,Mitsamiouli,KM,-11.3847,43.2844,81.68,76,11,5.61,light rain
197,Kodiak,US,57.79,-152.4072,30.2,43,1,33.38,clear sky
198,Saint-Philippe,RE,-21.3585,55.7679,78.8,78,0,4.61,light rain
199,Sapulpa,US,35.9987,-96.1142,80.6,22,1,9.22,clear sky
200,Bukachacha,RU,52.9833,116.9167,33.58,64,100,2.37,overcast clouds
201,Najran,SA,17.4924,44.1277,68.0,26,0,2.84,clear sky
202,Kirksville,US,40.1948,-92.5833,54.0,82,90,6.91,overcast clouds
203,Saint-Georges,GD,12.0564,-61.7485,82.4,74,40,13.8,scattered clouds
204,Perth,AU,-31.9333,115.8333,63.0,72,75,11.5,broken clouds
205,Bengkulu,ID,-3.8004,102.2655,75.04,88,83,5.99,broken clouds
206,Matviyivka,UA,47.0747,35.1444,40.26,55,100,8.08,overcast clouds
207,Biaora,IN,23.8667,76.9167,80.17,16,1,2.8,clear sky
208,Okato,NZ,-39.2,173.8833,63.0,89,100,10.0,moderate rain
209,Torbay,CA,47.6666,-52.7314,39.99,100,90,18.41,light rain
210,Faanui,PF,-16.4833,-151.75,81.82,69,17,9.46,few clouds
211,Lagoa,PT,39.05,-27.9833,58.8,88,5,18.16,clear sky
212,Pisco,PE,-13.7,-76.2167,73.4,68,100,20.71,overcast clouds
213,Sola,VU,-13.8833,167.55,84.2,84,20,11.81,few clouds
214,Kruisfontein,ZA,-34.0033,24.7314,60.01,94,4,1.01,clear sky
215,Moose Factory,CA,51.2585,-80.6094,35.6,80,90,10.36,light rain
216,Georgetown,MY,5.4112,100.3354,80.6,94,20,6.02,few clouds
217,Sakakah,SA,29.9697,40.2064,73.4,14,0,8.05,clear sky
218,Bathsheba,BB,13.2167,-59.5167,82.4,57,20,11.5,few clouds
219,Kidal,ML,18.4411,1.4078,85.5,9,92,11.05,overcast clouds
220,Isangel,VU,-19.55,169.2667,86.0,70,75,11.5,broken clouds
221,Bandarbeyla,SO,9.4942,50.8122,75.42,63,11,2.68,few clouds
222,Hambantota,LK,6.1241,81.1185,75.2,100,40,1.14,scattered clouds
223,Teguise,ES,29.0605,-13.564,68.0,73,20,3.44,few clouds
